,자사몰 - 상품 목록 URL,제품명,자사몰 - 상품 상세페이지 URL,주요 USP (상세페이지),카피 (한 줄 특징),제품 안전관리,기타 테스트,주의사항 / 제약문구,SNS / 광고용 영상 여부,기타,HS CODE,비고
,,,,,,,,,,,5705.00.0000,
,,,,,,,,,,,5705.00.0000,
,,,,,,,,,,,5705.00.0000,
,,,,,,,,,,,5705.00.0000,
,,,,,,,,,,,5705.00.0000,
,,,,,,,,,,,5705.00.0000,
,,발리콘 욕실화,https://coeir.co/surl/P/39,"1)안전과 착화감 고려한 최적의 무게
2) 안전한 PVC 소재, 놀라운 항균효과
3) 원활한 물 빠짐을 위한 14개 배수 홀
4) 고급스럽고 세련된 디자인 
5) 믿을 수 있는 국내 제작",가벼움의 한계를 넘은 안전한 무게과 편안한 착화감의 욕실화,생활용품 - 안전기준준수 - 화학(합성수지제품),1) 항균 테스트 통과,"- 굴패각 함유된 PVC 소재를 친환경 소재 or 친환경 제품으로 엮지 말 것.
- 굴패각과 항균이 인과 관계로 쓰이지 않도록 주의할 것. 굴껍질 재활용해 만든 소재 덕분에  항균 효과기 있는 것은 아님. 
- 욕실 문턱에 걸리지 않는 낮은 타입의 욕실화는 아님. 욕실문 사이즈에 따라서 걸리지 않을 수도 있고, 걸릴 수도 있기 때문에, 욕실문에 걸리지 않는 욕실화라는 표현은 다소 무리가 있을 수 있음. ","인스타용 광고 소재 영상 보유
제품 영상 보유","깃털같이 가벼운 욕실화를 포인트로 내세우는 경쟁사 '디어커스' 욕실화와 차별화되는 
발리콘 욕실화의 포인트는 '안전'과 '착화감'. 
",Made in Korea,
,,,,,,,,,,,Made in Korea,
,,,,,,,,,,,Made in Korea,
,,,,,,,,,,,Made in Korea,
,,,,,,,,,,,Made in Korea,
,,,,,,,,,,,Made in Korea,
,,,,,,,,,,,Made in Korea,
,,,,,,,,,,,Made in Korea,
,,,,,,,,,,,Made in Korea,
,,,,,,,,,,,Made in Korea,
스테인리스,https://coeir.co/product/list.html?cate_no=70,스테인리스 비누받침대,https://coeir.co/surl/P/38,"1) 원활한 배수
2) 녹과 부식에 강한 SUS304
3) 뛰어난 내구성
4) 세심하게 선정한 사이즈
5) 고급스러운 디자인","SUS304와 안티 핑거프린트 코팅, 마감·구조까지 섬세하게 - 코에르가 만든 스테인리스 기준",안전관리 대상 품목 아님,,,,"안티 핑거프린트 코팅은 코에르 스테인리스 라인의 키 포인트. 고급 스테인리스 소재인 
SUS304에 물자국, 손자국 방지해주는 안티 핑거프린트 코팅을 더해, 깔끔한 외관을
유지하고 관리도 편하도록 설계한 코에르 스테인리스만의 특징.",7326.90.9000,
,,,https://coeir.co/surl/P/67,,,,,,,,7326.90.9000,
,,,https://coeir.co/surl/P/68,,,,,,,,7326.90.9000,
,,스테인리스 스퀘어와이어 비누받침대,,,,,,,,,7326.90.9000,
,,스테인리스 칫솔꽂이,https://coeir.co/surl/P/43,"1) 녹과 부식에 강한 SUS304
2) 물고임 방지를 위한 6개의 배수 라인
3) 활용도 높은 다기능 파티션 
4) 칫솔 이탈 방지를 위한 거치 레이어
5) 샌드블라스팅과 전해 연마 공법
6) 유니크한 스퀘어 오벌 디자인",,,,,,,7326.90.9000,
,,스테인리스 스퀘어와이어 칫솔꽂이,,,,,,,,,7326.90.9000,
,,스테인리스 멀티홀더,https://coeir.co/surl/P/47,"1) 녹과 부식에 강한 SUS304
2) 안티 핑거프린트 코팅 (Anti-Fingerprint Coating)
3) 브러쉬드 피니쉬 기법
4) 인체 공학적 설계
5) 세련되고 미니멀한 디자인",,,,,,,7326.90.9000,
,,스테인리스 디스펜서,https://coeir.co/surl/P/48,"1) 녹과 부식에 강한 SUS304
2) 안티 핑거프린트 코팅 (Anti-Fingerprint Coating)
3) 브러쉬드 피니쉬 기법
4) 손쉬운 펌핑
5) 세련되고 미니멀한 디자인",,,,,,,7326.90.9000,
,,스테인리스 트레이,https://coeir.co/surl/P/49,"1) 녹과 부식에 강한 SUS304
2) 안티 핑거프린트 코팅 (Anti-Fingerprint Coating)
3) 브러쉬드 피니쉬 기법
4) 편의성까지 고려한 세련된 디자인 
5) 다양하게 활용 가능한 멀티 아이템",,,,,,,7326.90.9000,
,,,,,,,,,,,7326.90.9000,
,,,,,,,,,,,7326.90.9000,
,,스테인리스 욕실선반 베이직,https://coeir.co/surl/P/42,"1) 안티 핑거프린트 코팅 (Anti-Fingerprint Coating)
2) 녹과 부식에 강한 SUS304
3) 원활한 물 빠짐을 위한 배수라인
4) 안전하고 깔끔한 마감 처리
5) 실용적인 사이즈 설계
6) 간편하지만 강력한 무타공 방식",,,,,욕실 선반 설치 방법 동영상 보유,,7326.90.9000,
,,,,,,,,,,,7326.90.9000,
,,스테인리스 욕실선반 플랫,https://coeir.co/surl/P/187,,,,,,,,7326.90.9000,
,,스테인리스 욕실선반 히든,https://coeir.co/surl/P/186,,,,,,,,7326.90.9000,
,,스테인리스 스퀘어와이어 오거나이저,,,,,,,,,7326.90.9000,
,,스테인리스 스퀘어와이어 듀얼 레이어 행잉 오거나이저,,,,,,,,,7326.90.9000,
,,"스테인리스 2종 세트
(칫솔꽂이 · 비누받침대)",https://coeir.co/surl/P/62,-,,,,,,,7326.90.9000,
,,,,,,,,,,,7326.90.9000,
,,,,,,,,,,,7326.90.9000,
,,"스테인리스 3종 세트
(멀티홀더 · 디스펜서 · 트레이)",https://coeir.co/surl/P/63,-,,,,,,,7326.90.9000,
,,,,,,,,,,,7326.90.9000,
,,,,,,,,,,,7326.90.9000,
,,"스테인리스 4종 세트
(멀티홀더 · 디스펜서 · 트레이 · 욕실선반)",https://coeir.co/surl/P/64,-,,,,,,,7326.90.9000,
,,,,,,,,,,,7326.90.9000,
,,,,,,,,,,,7326.90.9000,
,,,,,,,,,,,7326.90.9000,
,,,,,,,,,,,7326.90.9000,
,,,,,,,,,,,7326.90.9000,
,,"스테인리스 5종 세트
(칫솔꽂이 · 비누받침대 · 멀티홀더 · 디스펜서 · 트레이)",https://coeir.co/surl/P/65,-,,,,,,,7326.90.9000,
,,,,,,,,,,,7326.90.9000,
,,,,,,,,,,,7326.90.9000,
,,,,,,,,,,,7326.90.9000,
,,,,,,,,,,,7326.90.9000,
,,,,,,,,,,,7326.90.9000,
,,,,,,,,,,,7326.90.9000,
,,,,,,,,,,,7326.90.9000,
,,,,,,,,,,,7326.90.9000,
테라조,https://coeir.co/product/list.html?cate_no=69,테라조 비누받침대 베이직,https://coeir.co/surl/P/40,"1) 내구성이 좋고, 관리가 편한 레진 소재
2) 물 빠짐이 원활한 배수 홀
3) 물때 및 미끄럼 방지를 위한 논슬립 패드
4) 세심하게 선정한 사이즈
5) 100% 핸드메이드, 프리미엄 퀄리티","리얼 스톤을 하나하나 담아낸 100% 핸드메이드, 내구성과 감도를 모두 갖춘 코에르 테라조 라인",안전관리 대상 품목 아님,,,,"- 테라조 라인은 사람이 직접 스톤을 하나하나 엄선하여 조합해 테라조 패턴으로 만든 
100% 핸드메이드 제품임. 100% 핸드메이드, 프리미엄 퀄리티라는 점 강조. 
- 수작업으로 만든 제품이기 때문에 패턴 모양이 제품마다 다를 수 있음. ",3918.90.0000,
,,테라조 비누받침대 웨이브,https://coeir.co/surl/P/69,,,,,,,,3918.90.0000,
,,테라조 칫솔꽂이 라운드,https://coeir.co/surl/P/41,"1) 내구성이 좋고, 관리가 편한 레진 소재
2) 세심하게 설계된 배수 홀과 배수 라인
3) 물때 및 미끄럼 방지를 위한 논슬립 패드
4) 안정감 있고, 위생을 고려한 거치 홀
5) 100% 핸드메이드, 프리미엄 퀄리티",,,,,,,3918.90.0000,
,,테라조 칫솔꽂이 스퀘어,https://coeir.co/surl/P/70,,,,,,,,3918.90.0000,
,,테라조 멀티홀더,https://coeir.co/surl/P/44,"1) 내구성이 좋고, 관리가 편한 레진 소재
2) 다양한 제품을 한 곳에 정리해주는 멀티 아이템
3) 물때 및 미끄럼 방지를 위한 논슬립 패드
4) 100% 핸드메이드, 프리미엄 퀄리티",,,,,,,3918.90.0000,
,,테라조 디스펜서,https://coeir.co/surl/P/45,"1) 내구성이 좋고, 관리가 편한 레진 소재
2) 공간을 정돈해주는 인테리어 효과
3) 물때 및 미끄럼 방지를 위한 논슬립 패드
4) 100% 핸드메이드, 프리미엄 퀄리티",,,,,,,3918.90.0000,
,,테라조 트레이,https://coeir.co/surl/P/46,"1) 내구성이 좋고, 관리가 편한 레진 소재
2) 편의성까지 고려한 세련된 디자인
3) 물때 및 미끄럼 방지를 위한 논슬립 패드
4) 100% 핸드메이드, 프리미엄 퀄리티",,,,,,,3918.90.0000,
,,,,,,,,,,,3918.90.0000,
,,테라조 캐니스터,https://coeir.co/surl/P/136,,,,,,,,3918.90.0000,
,,테라조 드라이트레이,https://coeir.co/surl/P/149,,,,,,,,3918.90.0000,
,,,,,,,,,,,3918.90.0000,
,,"테라조 2종 세트
(비누받침대 · 칫솔꽂이)",https://coeir.co/surl/P/59,-,,,,,,,3918.90.0000,
,,,,,,,,,,,3918.90.0000,
,,,,,,,,,,,3918.90.0000,
,,,,,,,,,,,3918.90.0000,
,,"테라조 3종 세트
(디스펜서 · 멀티홀더 · 트레이)",https://coeir.co/surl/P/60,-,,,,,,,3918.90.0000,
,,,,,,,,,,,3918.90.0000,
,,"테라조 5종 세트
(디스펜서 · 멀티홀더 · 트레이 · 비누받침대 · 칫솔꽂이)",https://coeir.co/surl/P/61,-,,,,,,,3918.90.0000,
,,,,,,,,,,,3918.90.0000,
,,,,,,,,,,,3918.90.0000,
,,,,,,,,,,,3918.90.0000,
,,,,,,,,,,,3918.90.0000,
,,,,,,,,,,,3918.90.0000,
,,,,,,,,,,,3918.90.0000,
,,,,,,,,,,,3918.90.0000,
타월,https://coeir.co/product/list.html?cate_no=71,[단품] 오가닉 에버닌 그린 타월 스트라이프 (1P),https://coeir.co/surl/P/54,"1) GOTS 인증 최고급 오가닉 코튼
2) 유해물질 안심, OEKO-TEX 1등급
3) 친환경 EFD 염색, 무형광/무표백
4) 호텔 스펙을 능가하는 40수, 220g, 543gsm
5) 먼지 걱정 없는 슈퍼 코마사","3년 이상 화학비료 없이 재배된 토양에서 자란, GOTS 최고 등급 오가닉 코튼 100%","어린이제품 - 안전확인 - 유아용 섬유제품
-> 테스트 통과(fiti)
-> 안전확인신고확인증 번호 발급
-> KC마크 사용 가능",1) 형광증백제 사용 테스트 통과,"- KC인증 받았다는 표현 사용 가능 > 하지만 KC 마크를 획득한 제품이 더 정확한 표현
#)어린이제품은 아니나 아이들이 많이 사용하기 때문에 어린이제품 - 안전확인 - 유아용 섬유 제품으로 진행(모두 통과)
#)어린이제품 - 안전확인 - 유아용 섬유 제품은 안전인증이 아니라 안전확인이기 때문에 'KC인증'이라는 표현이 100% 정확한 것은 아니나 안전확인도 검사를 통화해야만 안전확인 번호가 나오는 것이라 필요에 따라서는 사용해도 됨
#)정확한 표현은 'KC 마크를 획득한 제품'",인스타용 릴스 영상 보유,"오가닉에도 등급이 있다는 사실을 모르는 고객들이 많음. 코에르 타월은 매우 까다로운 
국제 유기농 섬유 인증인 GOTS를 획득했는데 그 중에서도 95% 이상 유기농 섬유에만 
주어지는 최고 등급인 'Organic' 라벨 원사로 제작됨. 진짜 오가닉 코튼 100% 강조",Made in Korea,
,,[단품] 오가닉 에버닌 그린 타월 체커드 (1P),https://coeir.co/surl/P/55,,,,,,,,Made in Korea,
,,[단품] 오가닉 에버닌 그린 타월 플로라 (1P),https://coeir.co/surl/P/56,,,,,,,,Made in Korea,
,,[단품] 오가닉 에버닌 그린 타월 블룸 (1P),https://coeir.co/surl/P/53,,,,,,,,Made in Korea,
,,[벌크] 오가닉 에버닌 그린 타월 (4P),https://coeir.co/surl/P/57,,,,,,,,Made in Korea,
,,[벌크] 오가닉 에버닌 그린 타월 (8P),https://coeir.co/surl/P/57,,,,,,,,Made in Korea,
,,[패키지] 오가닉 에버닌 그린 타월 (4P),https://coeir.co/surl/P/58,,,,,,,,Made in Korea,
,,[패키지] 오가닉 에버닌 그린 타월 (8P),https://coeir.co/surl/P/58,,,,,,,,Made in Korea,
샤워기,https://coeir.co/product/list.html?cate_no=94,PLA 필터 온오프 샤워기 클라우드 화이트,https://coeir.co/surl/P/191,"1) 식물 유래 PLA 소재
2) 바디・헤드 필터의 듀얼 케어 시스템
3) 원터치 온오프 버튼","식물 유래 PLA 소재로 미세플라스틱부터
잔류 염소・유해 물질까지 걸러내는
듀얼 필터 온오프 샤워기",,,,,,Made in Korea,
,,PLA 필터,https://coeir.co/surl/P/193,"1) 식물 유래 PLA 소재
2) 녹물・불순물 여과
3) 필터 속 세균까지 99.9% 향균","100% 식물 유래 소재로
미세플라스틱이 검출되지 않는 향균 필터",,,,,,Made in Korea,
,,ACF 헤드필터,https://coeir.co/surl/P/194,"1) 잔류 염소 제거・냄새 흡착
2) 케이스와 부직포까지 식물 유래 소재","잔류 염소와 냄새를 흡착해
피부에 닿기 전 한 번 더 걸러주는 ACF 헤드필터",,,,,,Made in Korea,
,,샤워호스,https://coeir.co/surl/P/192,"1) 물때와 세균 번식을 줄인 샤워호스
2) 호스 꼬임 없는 360º 회전 구조
3) 내구성을 높인 견고한 설계","물때와 세균 번식을 줄이고
360º 회전으로 꼬임 없는 샤워호스",,,,,,Made in Korea,
기프트,https://coeir.co/product/list.html?cate_no=76,기프트 박스,https://coeir.co/surl/P/77,,,,,,,,,
,,쇼핑백,https://coeir.co/surl/P/75,,,,,,,,,
,,,,,,,,,,,,
부속품 모음,,무타공 스티커 세트,https://coeir.co/surl/P/66,,,,,,,,,
,,타공 나사 세트,https://coeir.co/surl/P/164,,,,,,,,,
,,논슬립 패드,https://coeir.co/surl/P/165,,,,,,,,,
